Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,0.25
2010,UNIDAD_MEDIDA.IX,ES53,0.24
2011,UNIDAD_MEDIDA.IX,ES,0.25
2011,UNIDAD_MEDIDA.IX,ES53,0.23
2012,UNIDAD_MEDIDA.IX,ES,0.25
2012,UNIDAD_MEDIDA.IX,ES53,0.24
2013,UNIDAD_MEDIDA.IX,ES,0.25
2013,UNIDAD_MEDIDA.IX,ES53,0.24
2014,UNIDAD_MEDIDA.IX,ES,0.25
2014,UNIDAD_MEDIDA.IX,ES53,0.24
2015,UNIDAD_MEDIDA.IX,ES,0.25
2015,UNIDAD_MEDIDA.IX,ES53,0.24
2016,UNIDAD_MEDIDA.IX,ES,0.25
2016,UNIDAD_MEDIDA.IX,ES53,0.24
2017,UNIDAD_MEDIDA.IX,ES,0.25
2017,UNIDAD_MEDIDA.IX,ES53,0.23
2018,UNIDAD_MEDIDA.IX,ES,0.26
2018,UNIDAD_MEDIDA.IX,ES53,0.26
2019,UNIDAD_MEDIDA.IX,ES,0.26
2019,UNIDAD_MEDIDA.IX,ES53,0.25
2020,UNIDAD_MEDIDA.IX,ES,0.26
2020,UNIDAD_MEDIDA.IX,ES53,0.24
2021,UNIDAD_MEDIDA.IX,ES,0.26
2021,UNIDAD_MEDIDA.IX,ES53,0.23
2022,UNIDAD_MEDIDA.IX,ES,0.26
2022,UNIDAD_MEDIDA.IX,ES53,0.23
2023,UNIDAD_MEDIDA.IX,ES,0.26
2023,UNIDAD_MEDIDA.IX,ES53,0.24
2024,UNIDAD_MEDIDA.IX,ES,0.26
2024,UNIDAD_MEDIDA.IX,ES53,0.24
