Year,Units,Territorio,Serie,DIMENSION_DESAGREGACION.EDAD,Value
2015,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_A,EDAD.Y10T14,0.00
2016,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_A,EDAD.Y10T14,0.00
2017,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_A,EDAD.Y10T14,0.00
2018,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_A,EDAD.Y10T14,0.00
2019,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_A,EDAD.Y10T14,0.00
2010,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2011,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2012,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2013,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2014,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2015,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2016,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2017,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2018,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.00
2019,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_A,EDAD.Y10T14,0.28
2010,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,11.69
2011,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,10.13
2012,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,9.23
2013,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,8.60
2014,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,7.66
2015,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,6.20
2016,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,8.08
2017,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,7.64
2018,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,5.82
2019,UNIDAD_MEDIDA.PER_1000_POP,ES532,SERIE.SERIE_B,EDAD.Y15T19,6.25
2010,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,8.50
2011,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,4.22
2012,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,6.91
2013,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,5.03
2014,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,4.49
2015,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,3.90
2016,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,4.58
2017,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,4.11
2018,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,3.59
2019,UNIDAD_MEDIDA.PER_1000_POP,ES533,SERIE.SERIE_B,EDAD.Y15T19,3.86
2010,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,9.84
2011,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,7.45
2012,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,9.23
2013,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,8.22
2014,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,7.24
2015,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,6.47
2016,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,7.07
2017,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,8.23
2018,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,4.65
2019,UNIDAD_MEDIDA.PER_1000_POP,ES531_072,SERIE.SERIE_B,EDAD.Y15T19,3.77
2010,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,20.20
2011,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,9.74
2012,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,4.79
2013,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,4.60
2014,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,18.48
2015,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,0.00
2016,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,4.87
2017,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,4.66
2018,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,4.41
2019,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_B,EDAD.Y15T19,4.68
2010,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.37
2011,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2012,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2013,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2014,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2015,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2016,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2017,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2018,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
2019,UNIDAD_MEDIDA.PER_1000_POP,ES531_071,SERIE.SERIE_A,EDAD.Y10T14,0.00
