Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PT,ES,14.00
2016,UNIDAD_MEDIDA.PT,ES53,4.27
2016,UNIDAD_MEDIDA.PT,ES531,1.59
2016,UNIDAD_MEDIDA.PT,ES532,5.41
2016,UNIDAD_MEDIDA.PT,ES533,0.69
2017,UNIDAD_MEDIDA.PT,ES,17.70
2017,UNIDAD_MEDIDA.PT,ES53,3.45
2017,UNIDAD_MEDIDA.PT,ES531,3.21
2017,UNIDAD_MEDIDA.PT,ES532,3.79
2017,UNIDAD_MEDIDA.PT,ES533,1.27
2018,UNIDAD_MEDIDA.PT,ES,16.70
2018,UNIDAD_MEDIDA.PT,ES53,1.87
2018,UNIDAD_MEDIDA.PT,ES531,2.05
2018,UNIDAD_MEDIDA.PT,ES532,1.90
2018,UNIDAD_MEDIDA.PT,ES533,1.29
2019,UNIDAD_MEDIDA.PT,ES,18.50
2019,UNIDAD_MEDIDA.PT,ES53,1.41
2019,UNIDAD_MEDIDA.PT,ES531,2.94
2019,UNIDAD_MEDIDA.PT,ES532,1.02
2019,UNIDAD_MEDIDA.PT,ES533,1.02
2020,UNIDAD_MEDIDA.PT,ES,16.80
2020,UNIDAD_MEDIDA.PT,ES53,1.22
2020,UNIDAD_MEDIDA.PT,ES531,2.14
2020,UNIDAD_MEDIDA.PT,ES532,1.06
2020,UNIDAD_MEDIDA.PT,ES533,0.70
2021,UNIDAD_MEDIDA.PT,ES,16.20
2021,UNIDAD_MEDIDA.PT,ES53,1.54
2021,UNIDAD_MEDIDA.PT,ES531,2.05
2021,UNIDAD_MEDIDA.PT,ES532,1.40
2021,UNIDAD_MEDIDA.PT,ES533,1.38
2022,UNIDAD_MEDIDA.PT,ES,19.60
