Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.ORGANISATIONS,ES53,46.00
2011,UNIDAD_MEDIDA.ORGANISATIONS,ES53,47.00
2012,UNIDAD_MEDIDA.ORGANISATIONS,ES53,50.00
2013,UNIDAD_MEDIDA.ORGANISATIONS,ES53,48.00
2014,UNIDAD_MEDIDA.ORGANISATIONS,ES53,46.00
2015,UNIDAD_MEDIDA.ORGANISATIONS,ES53,45.00
2016,UNIDAD_MEDIDA.ORGANISATIONS,ES53,44.00
2017,UNIDAD_MEDIDA.ORGANISATIONS,ES53,47.00
2018,UNIDAD_MEDIDA.ORGANISATIONS,ES53,40.00
2019,UNIDAD_MEDIDA.ORGANISATIONS,ES53,36.00
2020,UNIDAD_MEDIDA.ORGANISATIONS,ES,809.00
2020,UNIDAD_MEDIDA.ORGANISATIONS,ES53,37.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES,973.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES53,35.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES531_071,0.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES531_072,5.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES532,28.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES533,2.00
2022,UNIDAD_MEDIDA.ORGANISATIONS,ES,999.00
2022,UNIDAD_MEDIDA.ORGANISATIONS,ES53,34.00
2022,UNIDAD_MEDIDA.ORGANISATIONS,ES531_071,0.00
2022,UNIDAD_MEDIDA.ORGANISATIONS,ES531_072,5.00
2022,UNIDAD_MEDIDA.ORGANISATIONS,ES532,28.00
2022,UNIDAD_MEDIDA.ORGANISATIONS,ES533,1.00
2023,UNIDAD_MEDIDA.ORGANISATIONS,ES,1009.00
2023,UNIDAD_MEDIDA.ORGANISATIONS,ES53,33.00
2023,UNIDAD_MEDIDA.ORGANISATIONS,ES531_071,0.00
2023,UNIDAD_MEDIDA.ORGANISATIONS,ES531_072,4.00
2023,UNIDAD_MEDIDA.ORGANISATIONS,ES532,26.00
2023,UNIDAD_MEDIDA.ORGANISATIONS,ES533,3.00
2024,UNIDAD_MEDIDA.ORGANISATIONS,ES53,32.00
2024,UNIDAD_MEDIDA.ORGANISATIONS,ES531_071,0.00
2024,UNIDAD_MEDIDA.ORGANISATIONS,ES531_072,3.00
2024,UNIDAD_MEDIDA.ORGANISATIONS,ES532,26.00
2024,UNIDAD_MEDIDA.ORGANISATIONS,ES533,3.00
