Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEX,Value
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.64
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.00
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.49
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.00
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.75
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.80
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.16
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.80
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.92
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.70
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.65
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.90
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,4.29
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.90
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEX.M,3.19
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.80
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,0.84
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.80
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,1.02
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.80
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.03
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.90
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,1.95
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.90
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,1.53
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.10
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,1.59
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.20
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.06
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.10
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,1.80
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.10
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.20
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.53
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.10
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.72
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.00
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.83
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.00
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.68
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,3.10
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEX.F,2.98
