Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KG,ES,24.95
2010,UNIDAD_MEDIDA.KG,ES53,71.05
2011,UNIDAD_MEDIDA.KG,ES,23.70
2011,UNIDAD_MEDIDA.KG,ES53,69.38
2012,UNIDAD_MEDIDA.KG,ES,23.75
2012,UNIDAD_MEDIDA.KG,ES53,66.09
2013,UNIDAD_MEDIDA.KG,ES,23.22
2013,UNIDAD_MEDIDA.KG,ES53,65.30
2014,UNIDAD_MEDIDA.KG,ES,23.78
2014,UNIDAD_MEDIDA.KG,ES53,58.84
2015,UNIDAD_MEDIDA.KG,ES,24.46
2015,UNIDAD_MEDIDA.KG,ES53,53.12
2016,UNIDAD_MEDIDA.KG,ES,24.84
2016,UNIDAD_MEDIDA.KG,ES53,57.12
2017,UNIDAD_MEDIDA.KG,ES,24.69
2017,UNIDAD_MEDIDA.KG,ES53,31.76
2018,UNIDAD_MEDIDA.KG,ES,25.38
2018,UNIDAD_MEDIDA.KG,ES53,30.40
2019,UNIDAD_MEDIDA.KG,ES,25.19
2019,UNIDAD_MEDIDA.KG,ES53,29.74
2020,UNIDAD_MEDIDA.KG,ES,24.91
2020,UNIDAD_MEDIDA.KG,ES53,28.63
2021,UNIDAD_MEDIDA.KG,ES,25.18
2021,UNIDAD_MEDIDA.KG,ES53,28.24
2022,UNIDAD_MEDIDA.KG,ES,24.11
2022,UNIDAD_MEDIDA.KG,ES53,27.84
2023,UNIDAD_MEDIDA.KG,ES53,26.59
