Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.TIPO_TRATAMIENTO,Value
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,30.52
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,33.86
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,36.11
2018,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,815.20
2018,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,485.86
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,56.44
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,11.59
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,20.29
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,53.39
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,23.27
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,35.02
