Year,Units,general.territorio,Serie,general.series,Value
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110A01_01,98.53
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110A01_01,99.34
2022,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2022,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2022,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERIES._L_ES_110A01_01,99.15
2022,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110A01_01,98.57
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110A01_01,99.34
2023,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2023,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2023,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERIES._L_ES_110A01_01,99.15
2023,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110A01_01,98.61
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110A01_01,99.3
2024,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2024,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
2024,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERIES._L_ES_110A01_01,99.1
2024,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERIES._L_ES_110A01_01,100.00
