Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,35.18
2010,UNIDAD_MEDIDA.PT,ES53,33.85
2011,UNIDAD_MEDIDA.PT,ES,35.57
2011,UNIDAD_MEDIDA.PT,ES53,34.39
2012,UNIDAD_MEDIDA.PT,ES,35.88
2012,UNIDAD_MEDIDA.PT,ES53,34.52
2013,UNIDAD_MEDIDA.PT,ES,36.25
2013,UNIDAD_MEDIDA.PT,ES53,34.79
2014,UNIDAD_MEDIDA.PT,ES,36.6
2014,UNIDAD_MEDIDA.PT,ES53,35.08
2015,UNIDAD_MEDIDA.PT,ES,36.79
2015,UNIDAD_MEDIDA.PT,ES53,35.22
2016,UNIDAD_MEDIDA.PT,ES,37.1
2016,UNIDAD_MEDIDA.PT,ES53,35.49
2017,UNIDAD_MEDIDA.PT,ES,37.2
2017,UNIDAD_MEDIDA.PT,ES53,35.49
2018,UNIDAD_MEDIDA.PT,ES,37.47
2018,UNIDAD_MEDIDA.PT,ES53,35.45
2019,UNIDAD_MEDIDA.PT,ES,37.67
2019,UNIDAD_MEDIDA.PT,ES53,35.82
2020,UNIDAD_MEDIDA.PT,ES,37.65
2020,UNIDAD_MEDIDA.PT,ES53,35.53
