Year,Units,general.territorio,Serie,general.series,Value
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_030A01_01,23.95
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_030A01_01,22.73
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_030A01_01,22.98
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_030A01_01,23.03
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_030A01_01,22.08
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_030A01_01,23.09
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_030A01_01,19.78
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_030A01_01,20.54
