Year,Units,general.territorio,Serie,general.series,Value
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,7.46
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.58
2018,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.39
2018,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.20
2019,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.91
2019,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.17
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,30.03
2019,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.48
2019,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.97
2019,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,2.06
2020,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.09
2020,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,2.96
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,0.00
2020,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,1.89
2020,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.39
2020,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,1.02
2021,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.38
2021,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.94
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,0.00
2021,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.01
2021,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.69
2021,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.04
2022,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.80
