Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.94
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.94
2010,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_BRTC,100.00
2010,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_BRTC,100.00
2010,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.93
2010,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERIES.SH_STA_BRTC,100.00
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.94
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.93
2011,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_BRTC,100.00
2011,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.78
2011,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.96
2011,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.89
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.94
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.87
2012,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.14
2012,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.64
2012,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.91
2012,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERIES.SH_STA_BRTC,100.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_STA_BRTC,99.93
