Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,97.44
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,96.11
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,96.33
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,97.12
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,97.26
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.91
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,99.35
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,99.23
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,99.51
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,99.29
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,99.88
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,99.14
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,99.27
