Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_100000,ES,1.61
2010,UNIDAD_MEDIDA.PER_100000,ES53,2.02
2011,UNIDAD_MEDIDA.PER_100000,ES,1.44
2011,UNIDAD_MEDIDA.PER_100000,ES53,1.28
2012,UNIDAD_MEDIDA.PER_100000,ES,1.15
2012,UNIDAD_MEDIDA.PER_100000,ES53,2.08
2013,UNIDAD_MEDIDA.PER_100000,ES,1.40
2013,UNIDAD_MEDIDA.PER_100000,ES53,2.43
2014,UNIDAD_MEDIDA.PER_100000,ES,1.39
2014,UNIDAD_MEDIDA.PER_100000,ES53,2.23
2015,UNIDAD_MEDIDA.PER_100000,ES,1.18
2015,UNIDAD_MEDIDA.PER_100000,ES53,0.89
2016,UNIDAD_MEDIDA.PER_100000,ES,1.10
2016,UNIDAD_MEDIDA.PER_100000,ES53,1.22
2017,UNIDAD_MEDIDA.PER_100000,ES,0.97
2017,UNIDAD_MEDIDA.PER_100000,ES53,1.38
2018,UNIDAD_MEDIDA.PER_100000,ES,0.82
2018,UNIDAD_MEDIDA.PER_100000,ES53,0.94
2019,UNIDAD_MEDIDA.PER_100000,ES,0.72
