Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,1.37
2010,UNIDAD_MEDIDA.IX,ES53,1.43
2011,UNIDAD_MEDIDA.IX,ES,1.38
2011,UNIDAD_MEDIDA.IX,ES53,1.45
2012,UNIDAD_MEDIDA.IX,ES,1.39
2012,UNIDAD_MEDIDA.IX,ES53,1.43
2013,UNIDAD_MEDIDA.IX,ES,1.40
2013,UNIDAD_MEDIDA.IX,ES53,1.45
2014,UNIDAD_MEDIDA.IX,ES,1.40
2014,UNIDAD_MEDIDA.IX,ES53,1.45
2015,UNIDAD_MEDIDA.IX,ES,1.41
2015,UNIDAD_MEDIDA.IX,ES53,1.45
2016,UNIDAD_MEDIDA.IX,ES,1.41
2016,UNIDAD_MEDIDA.IX,ES53,1.45
2017,UNIDAD_MEDIDA.IX,ES,1.42
2017,UNIDAD_MEDIDA.IX,ES53,1.46
2018,UNIDAD_MEDIDA.IX,ES,1.42
2018,UNIDAD_MEDIDA.IX,ES53,1.46
2019,UNIDAD_MEDIDA.IX,ES,1.42
2019,UNIDAD_MEDIDA.IX,ES53,1.47
2020,UNIDAD_MEDIDA.IX,ES,1.43
2020,UNIDAD_MEDIDA.IX,ES53,1.48
2021,UNIDAD_MEDIDA.IX,ES,1.43
2021,UNIDAD_MEDIDA.IX,ES53,1.48
2022,UNIDAD_MEDIDA.IX,ES,1.44
2022,UNIDAD_MEDIDA.IX,ES53,1.48
2023,UNIDAD_MEDIDA.IX,ES,1.44
2023,UNIDAD_MEDIDA.IX,ES53,1.48
