Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2010,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,1.00
2012,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,3.00
2013,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,4.00
2014,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,6.00
2015,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,6.00
2016,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,7.00
2017,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,7.00
2018,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,8.00
2019,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,8.00
2020,UNIDAD_MEDIDA.LICENCES,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,183.00
2020,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,7.00
2020,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,7.00
2021,UNIDAD_MEDIDA.LICENCES,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,289.00
2021,UNIDAD_MEDIDA.LICENCES,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_120601_01,8.00
2010,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,46.00
2011,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,47.00
2012,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,50.00
2013,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,48.00
2014,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,46.00
2015,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,45.00
2016,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,44.00
2017,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,47.00
2018,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,40.00
2019,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,36.00
2020,UNIDAD_MEDIDA.ORGANISATIONS,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,809.00
2020,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,37.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,973.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,35.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,0.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,5.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,28.00
2021,UNIDAD_MEDIDA.ORGANISATIONS,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_120601_02,2.00
