Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.72
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.62
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.73
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.16
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.18
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.17
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.20
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.18
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.20
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.20
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.24
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.24
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.24
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.25
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.22
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.23
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.23
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.25
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.24
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.27
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.27
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.32
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.23
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.23
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.23
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.23
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.28
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.47
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.30
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.47
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.29
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.45
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.30
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.46
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.29
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.45
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.30
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.46
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.31
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.46
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.31
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.45
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.30
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.47
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.32
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.47
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.33
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.47
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.34
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.50
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.34
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.50
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.41
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.53
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.34
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.42
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.34
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.36
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.36
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.42
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.36
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.37
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.38
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.44
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.44
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.45
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.40
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.45
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.40
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.42
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.42
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.42
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.43
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.44
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.37
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.38
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.45
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.39
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.40
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.45
