Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,
2010,UNIDAD_MEDIDA.PT,ES53,
2011,UNIDAD_MEDIDA.PT,ES,29.95
2011,UNIDAD_MEDIDA.PT,ES53,35.05
2012,UNIDAD_MEDIDA.PT,ES,30.21
2012,UNIDAD_MEDIDA.PT,ES53,32.84
2013,UNIDAD_MEDIDA.PT,ES,30.76
2013,UNIDAD_MEDIDA.PT,ES53,30.18
2014,UNIDAD_MEDIDA.PT,ES,30.88
2014,UNIDAD_MEDIDA.PT,ES53,33.81
2015,UNIDAD_MEDIDA.PT,ES,31.38
2015,UNIDAD_MEDIDA.PT,ES53,34.34
2016,UNIDAD_MEDIDA.PT,ES,32.20
2016,UNIDAD_MEDIDA.PT,ES53,30.57
2017,UNIDAD_MEDIDA.PT,ES,30.59
2017,UNIDAD_MEDIDA.PT,ES53,29.28
2018,UNIDAD_MEDIDA.PT,ES,32.13
2018,UNIDAD_MEDIDA.PT,ES53,31.11
2019,UNIDAD_MEDIDA.PT,ES,33.23
2019,UNIDAD_MEDIDA.PT,ES53,35.94
2020,UNIDAD_MEDIDA.PT,ES,34.97
2020,UNIDAD_MEDIDA.PT,ES53,34.04
2021,UNIDAD_MEDIDA.PT,ES53,37.76
