Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.27
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.38
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.27
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.36
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.27
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.35
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.25
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.31
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.25
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.29
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.24
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.28
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.23
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.27
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.23
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.28
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.22
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.28
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.20
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.25
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.19
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.21
2021,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.20
2021,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.23
2022,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.19
2022,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.20
2023,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.20
2023,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES53,SERIE.SERIE_A,SERIES._L_ES_130202_01,0.17
2010,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,6.57
2010,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,9.33
2011,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,6.54
2011,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,8.84
2012,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,6.42
2012,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,8.25
2013,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,5.88
2013,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,7.42
2014,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,5.85
2014,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,7.07
2015,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,6.04
2015,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,7.22
2016,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,5.78
2016,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,7.31
2017,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,6.04
2017,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,7.80
2018,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES,SERIE.SERIE_B,SERIES._L_ES_130202_02,5.87
2018,UNIDAD_MEDIDA.T_CO2_PER_CAPITA,ES53,SERIE.SERIE_B,SERIES._L_ES_130202_02,7.98
