Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,18.72
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,19.73
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,17.24
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,22.76
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,15.95
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,18.77
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,13.92
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,15.34
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,13.22
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.49
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,12.47
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.75
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,13.42
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.18
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,14.22
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.54
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,15.63
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,19.88
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.15
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,15.89
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,15.72
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,14.42
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.06
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,14.63
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.19
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,16.50
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,17.48
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_PRS_UNSNT,21.11
