Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,21.82
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,21.73
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,16.05
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,24.20
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,12.05
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,21.01
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,16.74
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,21.97
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,17.05
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,24.48
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,15.18
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,22.61
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,15.89
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,20.61
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,11.54
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,18.41
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,15.94
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,19.67
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,14.70
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,15.34
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,19.71
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,22.99
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_110101_01,22.97
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_110101_01,28.07
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,18.42
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,19.30
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,15.59
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,21.52
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,15.02
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,13.06
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,18.34
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,29.65
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,15.86
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,21.45
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,15.69
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,24.16
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,16.24
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,26.92
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,15.18
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,31.44
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,16.99
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,26.21
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,14.10
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,23.83
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,21.90
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,20.84
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_110101_03,23.61
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_110101_03,22.98
