Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,DIM_DES.SEX,Value
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,96.87
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,100.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.05
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,99.64
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.09
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.89
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.16
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.58
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.71
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.39
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.33
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,95.65
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.59
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,98.20
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,97.73
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040102_1B,AGE.Y18T20,SEX.F,98.17
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,68.75
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,57.48
