Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,67.01
2011,UNIDAD_MEDIDA.PT,ES53,65.12
2012,UNIDAD_MEDIDA.PT,ES,60.38
2012,UNIDAD_MEDIDA.PT,ES53,36.59
2013,UNIDAD_MEDIDA.PT,ES,61.01
2013,UNIDAD_MEDIDA.PT,ES53,36.73
2014,UNIDAD_MEDIDA.PT,ES,58.61
2014,UNIDAD_MEDIDA.PT,ES53,37.50
2015,UNIDAD_MEDIDA.PT,ES,62.32
2015,UNIDAD_MEDIDA.PT,ES53,56.52
2016,UNIDAD_MEDIDA.PT,ES,61.50
2016,UNIDAD_MEDIDA.PT,ES53,21.57
2017,UNIDAD_MEDIDA.PT,ES,62.44
2017,UNIDAD_MEDIDA.PT,ES53,50.00
2018,UNIDAD_MEDIDA.PT,ES,64.42
2018,UNIDAD_MEDIDA.PT,ES53,28.00
2019,UNIDAD_MEDIDA.PT,ES,66.01
2019,UNIDAD_MEDIDA.PT,ES53,49.06
2020,UNIDAD_MEDIDA.PT,ES,68.37
2020,UNIDAD_MEDIDA.PT,ES53,39.62
2021,UNIDAD_MEDIDA.PT,ES,66.91
2021,UNIDAD_MEDIDA.PT,ES53,49.51
2022,UNIDAD_MEDIDA.PT,ES,65.29
2022,UNIDAD_MEDIDA.PT,ES53,30.74
2023,UNIDAD_MEDIDA.PT,ES,68.59
2023,UNIDAD_MEDIDA.PT,ES53,61.00
2024,UNIDAD_MEDIDA.PT,ES,63.80
2024,UNIDAD_MEDIDA.PT,ES53,59.47
