Year,Units,Territorio,Value
2010,UNIDAD_MEDIDA.PT,ES53,26
2011,UNIDAD_MEDIDA.PT,ES53,26.7
2012,UNIDAD_MEDIDA.PT,ES53,25.09
2013,UNIDAD_MEDIDA.PT,ES53,27.84
2014,UNIDAD_MEDIDA.PT,ES53,23.81
2015,UNIDAD_MEDIDA.PT,ES53,26.3
2016,UNIDAD_MEDIDA.PT,ES53,19.15
2017,UNIDAD_MEDIDA.PT,ES53,24.74
2018,UNIDAD_MEDIDA.PT,ES53,18.11
2010,UNIDAD_MEDIDA.PT,ES,26.10
2011,UNIDAD_MEDIDA.PT,ES,26.73
2012,UNIDAD_MEDIDA.PT,ES,27.24
2013,UNIDAD_MEDIDA.PT,ES,27.31
2014,UNIDAD_MEDIDA.PT,ES,29.15
2015,UNIDAD_MEDIDA.PT,ES,28.65
2016,UNIDAD_MEDIDA.PT,ES,27.91
2017,UNIDAD_MEDIDA.PT,ES,26.58
2018,UNIDAD_MEDIDA.PT,ES,26.09
2019,UNIDAD_MEDIDA.PT,ES,25.29
2019,UNIDAD_MEDIDA.PT,ES53,15.09
