Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,21.70
2011,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,18.23
2012,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,22.10
2012,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,18.75
2013,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,21.89
2013,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,18.51
2014,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,21.35
2014,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,17.67
2015,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,20.96
2015,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,17.62
2016,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,20.49
2016,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,16.98
2017,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,20.14
2017,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,17.00
2018,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,19.76
2018,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,16.66
2019,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,19.07
2019,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,16.49
2020,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,20.32
2020,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,17.36
2021,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,19.71
2021,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES53,17.54
2022,UNIDAD_MEDIDA.T_OE_PER_1000000_EUR,ES,18.29
