Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_100000,ES,2.42
2010,UNIDAD_MEDIDA.PER_100000,ES53,3.47
2011,UNIDAD_MEDIDA.PER_100000,ES,2.03
2011,UNIDAD_MEDIDA.PER_100000,ES53,1.82
2012,UNIDAD_MEDIDA.PER_100000,ES,1.67
2012,UNIDAD_MEDIDA.PER_100000,ES53,2.89
2013,UNIDAD_MEDIDA.PER_100000,ES,2.06
2013,UNIDAD_MEDIDA.PER_100000,ES53,3.97
2014,UNIDAD_MEDIDA.PER_100000,ES,2.07
2014,UNIDAD_MEDIDA.PER_100000,ES53,3.61
2015,UNIDAD_MEDIDA.PER_100000,ES,1.74
2015,UNIDAD_MEDIDA.PER_100000,ES53,1.62
2016,UNIDAD_MEDIDA.PER_100000,ES,1.71
2016,UNIDAD_MEDIDA.PER_100000,ES53,1.96
2017,UNIDAD_MEDIDA.PER_100000,ES,1.54
2017,UNIDAD_MEDIDA.PER_100000,ES53,2.47
2018,UNIDAD_MEDIDA.PER_100000,ES,1.04
2018,UNIDAD_MEDIDA.PER_100000,ES53,1.74
2019,UNIDAD_MEDIDA.PER_100000,ES,0.95
2019,UNIDAD_MEDIDA.PER_100000,ES53,1.20
2020,UNIDAD_MEDIDA.PER_100000,ES,0.74
2020,UNIDAD_MEDIDA.PER_100000,ES53,1.02
2021,UNIDAD_MEDIDA.PER_100000,ES,0.74
2021,UNIDAD_MEDIDA.PER_100000,ES53,1.19
2022,UNIDAD_MEDIDA.PER_100000,ES,0.91
2022,UNIDAD_MEDIDA.PER_100000,ES53,1.68
2023,UNIDAD_MEDIDA.PER_100000,ES,1.03
2023,UNIDAD_MEDIDA.PER_100000,ES53,1.80
