Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,Value
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.VC_SNS_WALN,AGE.Y_GE16,78.28
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.VC_SNS_WALN,AGE.Y_GE16,80.69
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,13.06
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,13.19
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,10.83
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,11.71
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,10.16
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,8.32
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,14.24
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,11.75
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,11.89
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,9.65
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,9.97
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,10.54
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,10.30
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,15.59
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,8.67
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,9.12
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,10.89
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,9.35
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,11.61
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,11.38
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,14.09
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,8.26
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,13.60
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160104_02,AGE._T,12.70
