Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,95.91
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,108.48
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,98.81
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,98.41
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,103.80
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,116.30
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,103.62
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,99.90
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,103.09
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,109.59
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,102.64
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,101.72
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,99.93
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,103.61
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,99.64
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,100.68
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,101.96
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,100.53
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,103.40
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,99.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,111.92
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,104.28
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,106.78
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_160601_1A,113.52
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.66
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.65
2010,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,84.92
2010,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,95.24
2010,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.70
2010,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,91.68
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,100.83
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,100.12
2011,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.99
2011,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,90.94
2011,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.64
2011,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,97.14
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.26
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,93.75
2012,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.80
2012,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,90.90
2012,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.01
2012,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,92.81
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,100.36
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.69
2013,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,87.00
2013,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,98.82
2013,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.37
2013,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,88.26
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,104.99
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,106.54
2014,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,103.71
2014,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,104.54
2014,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,108.39
2014,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.70
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,106.46
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,103.98
2015,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,136.72
2015,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,98.17
2015,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,106.47
2015,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,89.71
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.77
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.13
2016,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,107.81
2016,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,88.36
2016,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.79
2016,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,90.21
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.75
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,100.70
2017,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,86.06
2017,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,96.52
2017,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,87.43
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.82
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.69
2018,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,93.28
2018,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,99.61
2018,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.39
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,102.77
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,100.38
2019,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,88.54
2019,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,103.53
2019,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,95.63
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,93.68
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.27
2020,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,94.49
2020,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_160601_1B,96.59
