Year,Units,general.territorio,Value
2014,UNIDAD_MEDIDA.PT,ES,47.80
2014,UNIDAD_MEDIDA.PT,ES53,41.80
2015,UNIDAD_MEDIDA.PT,ES,76.35
2015,UNIDAD_MEDIDA.PT,ES53,73.42
2016,UNIDAD_MEDIDA.PT,ES,94.42
2016,UNIDAD_MEDIDA.PT,ES53,96.74
2017,UNIDAD_MEDIDA.PT,ES,97.22
2017,UNIDAD_MEDIDA.PT,ES53,97.88
2018,UNIDAD_MEDIDA.PT,ES,99.53
2018,UNIDAD_MEDIDA.PT,ES53,99.92
2019,UNIDAD_MEDIDA.PT,ES,99.77
2019,UNIDAD_MEDIDA.PT,ES53,99.86
2020,UNIDAD_MEDIDA.PT,ES,99.87
2020,UNIDAD_MEDIDA.PT,ES53,99.84
2021,UNIDAD_MEDIDA.PT,ES,99.91
2021,UNIDAD_MEDIDA.PT,ES53,99.96
2022,UNIDAD_MEDIDA.PT,ES,99.89
2022,UNIDAD_MEDIDA.PT,ES53,99.97
2023,UNIDAD_MEDIDA.PT,ES,99.84
2023,UNIDAD_MEDIDA.PT,ES53,99.89
