Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,-20.40
2010,UNIDAD_MEDIDA.PT,ES53,-1.71
2011,UNIDAD_MEDIDA.PT,ES,-19.75
2011,UNIDAD_MEDIDA.PT,ES53,-6.97
2012,UNIDAD_MEDIDA.PT,ES,-21.45
2012,UNIDAD_MEDIDA.PT,ES53,-13.36
2013,UNIDAD_MEDIDA.PT,ES,-28.85
2013,UNIDAD_MEDIDA.PT,ES53,-22.53
2014,UNIDAD_MEDIDA.PT,ES,-27.60
2014,UNIDAD_MEDIDA.PT,ES53,-26.25
2015,UNIDAD_MEDIDA.PT,ES,-23.80
2015,UNIDAD_MEDIDA.PT,ES53,-22.70
2016,UNIDAD_MEDIDA.PT,ES,-26.08
2016,UNIDAD_MEDIDA.PT,ES53,-20.32
2017,UNIDAD_MEDIDA.PT,ES,-23.04
2017,UNIDAD_MEDIDA.PT,ES53,-13.49
2018,UNIDAD_MEDIDA.PT,ES,-23.77
2018,UNIDAD_MEDIDA.PT,ES53,-9.55
2019,UNIDAD_MEDIDA.PT,ES,-27.95
2019,UNIDAD_MEDIDA.PT,ES53,-16.64
2020,UNIDAD_MEDIDA.PT,ES,-41.18
2020,UNIDAD_MEDIDA.PT,ES53,-46.64
2021,UNIDAD_MEDIDA.PT,ES,-35.70
2021,UNIDAD_MEDIDA.PT,ES53,-33.32
2022,UNIDAD_MEDIDA.PT,ES,-31.60
2022,UNIDAD_MEDIDA.PT,ES53,-27.43
