Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,3.01
2010,UNIDAD_MEDIDA.PT,ES53,1.82
2011,UNIDAD_MEDIDA.PT,ES,2.85
2011,UNIDAD_MEDIDA.PT,ES53,1.89
2012,UNIDAD_MEDIDA.PT,ES,2.34
2012,UNIDAD_MEDIDA.PT,ES53,0.84
2013,UNIDAD_MEDIDA.PT,ES,1.73
2013,UNIDAD_MEDIDA.PT,ES53,0.72
2014,UNIDAD_MEDIDA.PT,ES,1.76
2014,UNIDAD_MEDIDA.PT,ES53,0.79
2015,UNIDAD_MEDIDA.PT,ES,1.81
2015,UNIDAD_MEDIDA.PT,ES53,0.96
2016,UNIDAD_MEDIDA.PT,ES,1.85
2016,UNIDAD_MEDIDA.PT,ES53,1.33
2017,UNIDAD_MEDIDA.PT,ES,2.08
2017,UNIDAD_MEDIDA.PT,ES53,1.26
2018,UNIDAD_MEDIDA.PT,ES,1.98
2018,UNIDAD_MEDIDA.PT,ES53,1.72
2019,UNIDAD_MEDIDA.PT,ES,2.07
2019,UNIDAD_MEDIDA.PT,ES53,1.55
2020,UNIDAD_MEDIDA.PT,ES,1.94
2020,UNIDAD_MEDIDA.PT,ES53,1.08
