Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_POISN,1.14
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_POISN,1.65
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_POISN,0.00
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_POISN,0.00
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_POISN,2.11
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_POISN,0.00
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_POISN,1.18
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_POISN,2.28
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_POISN,9.60
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_POISN,0.00
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_POISN,2.45
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_POISN,3.19
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_POISN,1.32
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_POISN,2.54
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_POISN,0.00
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_POISN,2.95
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_POISN,2.66
