Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KT,ES,434.76
2010,UNIDAD_MEDIDA.KT,ES53,2.27
2011,UNIDAD_MEDIDA.KT,ES,422.66
2011,UNIDAD_MEDIDA.KT,ES53,2.42
2012,UNIDAD_MEDIDA.KT,ES,420.15
2012,UNIDAD_MEDIDA.KT,ES53,2.39
2013,UNIDAD_MEDIDA.KT,ES,423.22
2013,UNIDAD_MEDIDA.KT,ES53,2.30
2014,UNIDAD_MEDIDA.KT,ES,443.33
2014,UNIDAD_MEDIDA.KT,ES53,2.40
2015,UNIDAD_MEDIDA.KT,ES,444.13
2015,UNIDAD_MEDIDA.KT,ES53,2.15
2016,UNIDAD_MEDIDA.KT,ES,444.41
2016,UNIDAD_MEDIDA.KT,ES53,2.09
2017,UNIDAD_MEDIDA.KT,ES,456.37
2017,UNIDAD_MEDIDA.KT,ES53,2.20
2018,UNIDAD_MEDIDA.KT,ES,449.71
2018,UNIDAD_MEDIDA.KT,ES53,2.14
2019,UNIDAD_MEDIDA.KT,ES,440.81
2019,UNIDAD_MEDIDA.KT,ES53,2.12
2020,UNIDAD_MEDIDA.KT,ES,447.58
2020,UNIDAD_MEDIDA.KT,ES53,2.09
2021,UNIDAD_MEDIDA.KT,ES,440.68
2021,UNIDAD_MEDIDA.KT,ES53,2.07
2022,UNIDAD_MEDIDA.KT,ES,425.43
2022,UNIDAD_MEDIDA.KT,ES53,1.66
2023,UNIDAD_MEDIDA.KT,ES53,1.67
