Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,18.74
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,48.17
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,18.46
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,53.59
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,18.12
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,55.19
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,18.04
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,63.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,16.57
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,54.30
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,15.92
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,56.80
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,14.23
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,52.73
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,14.13
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,54.38
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,13.53
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,54.71
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,13.08
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,54.96
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,13.70
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,56.58
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,13.73
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,56.77
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_SSIS,12.73
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_SSIS,58.34
