Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,47.89
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,45.24
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,48.36
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,45.38
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,49
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,45.18
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,50.08
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,46.56
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,51.32
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,47.02
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,52.32
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,47.92
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,53.32
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,48.60
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,54.42
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,49.36
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,55.54
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,49.56
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,56.64
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,49.98
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,58.26
2020,UNIDAD_MEDIDA.PER_10000_POP,ES53,51.52
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,59.76
2021,UNIDAD_MEDIDA.PER_10000_POP,ES53,53.30
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,60.84
2022,UNIDAD_MEDIDA.PER_10000_POP,ES53,54.66
