Year,Units,Territorio,Serie,DIMENSION_DESAGREGACION.SEXO,Value
2010,UNIDAD_MEDIDA.MN,ES53,SERIE.SERIE_A,SEXO._T,166.11
2010,UNIDAD_MEDIDA.MN,ES53,SERIE.SERIE_C,SEXO.F,221.38
2010,UNIDAD_MEDIDA.MN,ES53,SERIE.SERIE_B,SEXO.M,110.83
2010,UNIDAD_MEDIDA.MN,ES,SERIE.SERIE_A,SEXO._T,182.00
2010,UNIDAD_MEDIDA.MN,ES,SERIE.SERIE_C,SEXO.F,247.00
2010,UNIDAD_MEDIDA.MN,ES,SERIE.SERIE_B,SEXO.M,114.00
