Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,11.53
2010,UNIDAD_MEDIDA.PT,ES53,3.51
2011,UNIDAD_MEDIDA.PT,ES,11.44
2011,UNIDAD_MEDIDA.PT,ES53,3.12
2012,UNIDAD_MEDIDA.PT,ES,11.09
2012,UNIDAD_MEDIDA.PT,ES53,2.66
2013,UNIDAD_MEDIDA.PT,ES,11.14
2013,UNIDAD_MEDIDA.PT,ES53,2.50
2014,UNIDAD_MEDIDA.PT,ES,11.21
2014,UNIDAD_MEDIDA.PT,ES53,2.64
2015,UNIDAD_MEDIDA.PT,ES,11.29
2015,UNIDAD_MEDIDA.PT,ES53,2.70
2016,UNIDAD_MEDIDA.PT,ES,11.21
2016,UNIDAD_MEDIDA.PT,ES53,2.56
2017,UNIDAD_MEDIDA.PT,ES,11.51
2017,UNIDAD_MEDIDA.PT,ES53,2.56
2018,UNIDAD_MEDIDA.PT,ES,11.12
2018,UNIDAD_MEDIDA.PT,ES53,2.50
2019,UNIDAD_MEDIDA.PT,ES,10.95
2019,UNIDAD_MEDIDA.PT,ES53,2.50
2020,UNIDAD_MEDIDA.PT,ES,10.45
2020,UNIDAD_MEDIDA.PT,ES53,2.70
2021,UNIDAD_MEDIDA.PT,ES,10.79
2021,UNIDAD_MEDIDA.PT,ES53,2.55
