Year,Units,general.territorio,Serie,general.series,Value
2015,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2015,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2016,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2016,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2017,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2017,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2018,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2018,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2019,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2019,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2020,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2020,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2021,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2021,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2022,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2022,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2023,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2023,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2024,UNIDAD_MEDIDA.1T6,ES,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
2024,UNIDAD_MEDIDA.1T6,ES53,SERIE.SERIE_A,SERIES.SG_LGL_LNDFEMOD,6.00
