Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.GPERM3,ES,13.38
2010,UNIDAD_MEDIDA.GPERM3,ES53,13.00
2011,UNIDAD_MEDIDA.GPERM3,ES,13.91
2011,UNIDAD_MEDIDA.GPERM3,ES53,13.00
2012,UNIDAD_MEDIDA.GPERM3,ES,13.70
2012,UNIDAD_MEDIDA.GPERM3,ES53,13.00
2013,UNIDAD_MEDIDA.GPERM3,ES,11.67
2013,UNIDAD_MEDIDA.GPERM3,ES53,12.00
2014,UNIDAD_MEDIDA.GPERM3,ES,11.59
2014,UNIDAD_MEDIDA.GPERM3,ES53,13.00
2015,UNIDAD_MEDIDA.GPERM3,ES,13.40
2015,UNIDAD_MEDIDA.GPERM3,ES53,15.00
2016,UNIDAD_MEDIDA.GPERM3,ES,11.36
2016,UNIDAD_MEDIDA.GPERM3,ES53,11.00
2017,UNIDAD_MEDIDA.GPERM3,ES,12.61
2017,UNIDAD_MEDIDA.GPERM3,ES53,12.00
2018,UNIDAD_MEDIDA.GPERM3,ES,11.84
2018,UNIDAD_MEDIDA.GPERM3,ES53,13.00
2019,UNIDAD_MEDIDA.GPERM3,ES,11.93
2019,UNIDAD_MEDIDA.GPERM3,ES53,13.00
2020,UNIDAD_MEDIDA.GPERM3,ES,10.72
2020,UNIDAD_MEDIDA.GPERM3,ES53,12.00
2021,UNIDAD_MEDIDA.GPERM3,ES,10.35
2021,UNIDAD_MEDIDA.GPERM3,ES53,14.00
