Year,Units,general.territorio,Value
2014,UNIDAD_MEDIDA.PT,ES,32.70
2014,UNIDAD_MEDIDA.PT,ES53,26.87
2015,UNIDAD_MEDIDA.PT,ES,31.00
2015,UNIDAD_MEDIDA.PT,ES53,25.30
2016,UNIDAD_MEDIDA.PT,ES,28.60
2016,UNIDAD_MEDIDA.PT,ES53,22.83
2017,UNIDAD_MEDIDA.PT,ES,26.20
2017,UNIDAD_MEDIDA.PT,ES53,14.02
2018,UNIDAD_MEDIDA.PT,ES,25.20
2018,UNIDAD_MEDIDA.PT,ES53,26.70
2019,UNIDAD_MEDIDA.PT,ES,23.90
2019,UNIDAD_MEDIDA.PT,ES53,25.07
2020,UNIDAD_MEDIDA.PT,ES,22.20
2020,UNIDAD_MEDIDA.PT,ES53,20.27
2021,UNIDAD_MEDIDA.PT,ES,22.50
2021,UNIDAD_MEDIDA.PT,ES53,36.49
