Year,Units,general.territorio,Value
2017,UNIDAD_MEDIDA.PT,ES,77.78
2018,UNIDAD_MEDIDA.PT,ES,79.41
2019,UNIDAD_MEDIDA.PT,ES,80.21
2020,UNIDAD_MEDIDA.PT,ES,81.79
2021,UNIDAD_MEDIDA.PT,ES,81.83
2021,UNIDAD_MEDIDA.PT,ES53,48.38
2022,UNIDAD_MEDIDA.PT,ES,83.73
2023,UNIDAD_MEDIDA.PT,ES,81.42
2023,UNIDAD_MEDIDA.PT,ES53,75.24
2024,UNIDAD_MEDIDA.PT,ES,63.69
2024,UNIDAD_MEDIDA.PT,ES53,60.44
