Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PER_100000,ES,0.04
2016,UNIDAD_MEDIDA.PER_100000,ES53,0.00
2017,UNIDAD_MEDIDA.PER_100000,ES,0.02
2017,UNIDAD_MEDIDA.PER_100000,ES53,0.17
2018,UNIDAD_MEDIDA.PER_100000,ES,0.03
2018,UNIDAD_MEDIDA.PER_100000,ES53,0.00
2019,UNIDAD_MEDIDA.PER_100000,ES,0.12
2019,UNIDAD_MEDIDA.PER_100000,ES53,0.00
2020,UNIDAD_MEDIDA.PER_100000,ES,0.02
2020,UNIDAD_MEDIDA.PER_100000,ES53,0.00
2021,UNIDAD_MEDIDA.PER_100000,ES,0.00
2021,UNIDAD_MEDIDA.PER_100000,ES53,0.00
2022,UNIDAD_MEDIDA.PER_100000,ES,0.02
2022,UNIDAD_MEDIDA.PER_100000,ES53,0.00
