Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.EUR_1000000,ES,4994.44
2010,UNIDAD_MEDIDA.EUR_1000000,ES53,66.98
2011,UNIDAD_MEDIDA.EUR_1000000,ES,4642.07
2011,UNIDAD_MEDIDA.EUR_1000000,ES53,63.30
2012,UNIDAD_MEDIDA.EUR_1000000,ES,4004.13
2012,UNIDAD_MEDIDA.EUR_1000000,ES53,36.15
2013,UNIDAD_MEDIDA.EUR_1000000,ES,2799.03
2013,UNIDAD_MEDIDA.EUR_1000000,ES53,25.97
2014,UNIDAD_MEDIDA.EUR_1000000,ES,2975.23
2014,UNIDAD_MEDIDA.EUR_1000000,ES53,33.34
2015,UNIDAD_MEDIDA.EUR_1000000,ES,3089.97
2015,UNIDAD_MEDIDA.EUR_1000000,ES53,39.39
2016,UNIDAD_MEDIDA.EUR_1000000,ES,3127.38
2016,UNIDAD_MEDIDA.EUR_1000000,ES53,58.33
2017,UNIDAD_MEDIDA.EUR_1000000,ES,3654.89
2017,UNIDAD_MEDIDA.EUR_1000000,ES53,59.12
2018,UNIDAD_MEDIDA.EUR_1000000,ES,3752.89
2018,UNIDAD_MEDIDA.EUR_1000000,ES53,86.69
2019,UNIDAD_MEDIDA.EUR_1000000,ES,4133.64
2019,UNIDAD_MEDIDA.EUR_1000000,ES53,84.07
2020,UNIDAD_MEDIDA.EUR_1000000,ES,4538.09
2020,UNIDAD_MEDIDA.EUR_1000000,ES53,66.39
