Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,52.31
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,52.94
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,58.60
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,46.04
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,50.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,37.54
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,27.50
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,33.05
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,26.79
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,32.44
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,20.45
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,37.91
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,37.21
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,35.22
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,29.17
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,43.82
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,38.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,42.45
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,34.04
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,44.85
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,48.94
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,52.81
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,58.93
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,50.70
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,56.34
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,52.75
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,52.89
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,54.04
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,52.91
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,50.59
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIES._L_ES_160602_1F,COMPOSITE_BREAKDOWN._L_SERVICE_06,50.37
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,67.01
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,65.12
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,60.38
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,36.59
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,61.01
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,36.73
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,58.61
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,37.50
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,62.32
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,56.52
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,61.50
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,21.57
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,62.44
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,50.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,64.42
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,28.00
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,66.01
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,49.06
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,68.37
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,39.62
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,66.91
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,49.51
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,65.29
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,30.74
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,68.59
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,61.00
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,63.80
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_H,SERIES._L_ES_160602_1G,COMPOSITE_BREAKDOWN._L_SERVICE_07,59.47
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,53.29
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,56.82
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,46.74
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,52.38
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,41.13
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,40.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,37.15
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,37.74
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,48.40
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,50.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,43.17
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,40.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,47.97
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,64.71
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,44.69
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,28.57
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,48.92
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,46.00
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,48.01
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,41.67
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,46.03
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,29.14
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,46.36
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,36.17
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,48.47
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,44.37
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,44.57
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_I,SERIES._L_ES_160602_1H,COMPOSITE_BREAKDOWN._L_SERVICE_08,41.86
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,32.64
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,32.26
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,24.76
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,35.48
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,15.89
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,10.42
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,15.70
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,9.80
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,19.49
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,31.71
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,18.77
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,20.93
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,24.65
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,24.44
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,22.31
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,14.89
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,28.90
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,38.64
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,30.79
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,43.64
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,31.98
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,42.32
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,33.80
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,21.09
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,34.24
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,31.50
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,33.06
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_J,SERIES._L_ES_160602_1I,COMPOSITE_BREAKDOWN._L_SERVICE_09,32.98
