Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,26.09
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,37.42
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,30.23
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,46.67
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,49.02
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,47.63
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,44.00
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,52.18
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,52.00
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,49.03
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,51.61
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,49.07
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,58.63
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,51.13
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,36.62
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,54.31
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,53.16
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,50.39
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_160602_1A,COMPOSITE_BREAKDOWN._L_SERVICE_01,60.88
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,56.92
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,52.17
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,50.33
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,41.30
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,40.34
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,38.98
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,43.22
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,42.37
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,49.03
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,50.98
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,47.51
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,33.96
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,53.31
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,61.11
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,53.95
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,46.30
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,59.77
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,61.82
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,68.02
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,79.37
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,62.19
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,69.03
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,55.56
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,58.46
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,54.88
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,55.77
