Year,Units,general.territorio,Serie,general.series,DIM_DES.SEX,Value
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2010,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2011,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2012,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2013,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2014,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2015,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2016,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2017,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2018,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2019,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2020,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2020,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2021,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2021,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2022,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2022,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2023,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2023,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SERIES.SH_STA_MALR,SEX._T,0.00
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2010,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2011,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2012,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2013,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2014,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2015,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2016,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2017,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2018,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2019,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2020,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2020,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2021,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2021,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2022,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2022,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2023,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2023,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SERIES._L_ES_030303_02,SEX.M,0.00
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2010,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2011,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2012,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2013,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2014,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2015,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2016,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2017,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2018,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2019,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2020,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2020,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2021,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2021,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2022,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2022,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2023,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
2023,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_C,SERIES._L_ES_030303_03,SEX.F,0.00
