Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIMENSION_DESAGREGACION.FORMA_MEDIR_EMPLEO,Value
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.83
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.55
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.3
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.25
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.36
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.43
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.33
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.31
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,11.16
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.9
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.51
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.18
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.97
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.91
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.05
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.05
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.01
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,10.01
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.34
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,12.66
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.61
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.91
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,4.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.85
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.29
