Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,99.20
2010,UNIDAD_MEDIDA.PT,ES53,85.00
2011,UNIDAD_MEDIDA.PT,ES,98.80
2011,UNIDAD_MEDIDA.PT,ES53,95.90
2012,UNIDAD_MEDIDA.PT,ES,98.00
2012,UNIDAD_MEDIDA.PT,ES53,96.00
2013,UNIDAD_MEDIDA.PT,ES,97.90
2013,UNIDAD_MEDIDA.PT,ES53,92.20
2014,UNIDAD_MEDIDA.PT,ES,97.30
2014,UNIDAD_MEDIDA.PT,ES53,90.60
2015,UNIDAD_MEDIDA.PT,ES,98.10
2015,UNIDAD_MEDIDA.PT,ES53,91.20
2016,UNIDAD_MEDIDA.PT,ES,98.20
2016,UNIDAD_MEDIDA.PT,ES53,91.90
2017,UNIDAD_MEDIDA.PT,ES,95.9
2017,UNIDAD_MEDIDA.PT,ES53,94.50
2018,UNIDAD_MEDIDA.PT,ES,98.80
2018,UNIDAD_MEDIDA.PT,ES53,92.10
2019,UNIDAD_MEDIDA.PT,ES,98.90
2019,UNIDAD_MEDIDA.PT,ES53,92.30
2020,UNIDAD_MEDIDA.PT,ES,98.90
2020,UNIDAD_MEDIDA.PT,ES53,92.90
2021,UNIDAD_MEDIDA.PT,ES,98.30
2021,UNIDAD_MEDIDA.PT,ES53,95.40
2022,UNIDAD_MEDIDA.PT,ES,98.50
2022,UNIDAD_MEDIDA.PT,ES53,96.30
