Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,4.09
2010,UNIDAD_MEDIDA.PT,ES53,4.01
2011,UNIDAD_MEDIDA.PT,ES,4.50
2011,UNIDAD_MEDIDA.PT,ES53,4.32
2012,UNIDAD_MEDIDA.PT,ES,5.77
2012,UNIDAD_MEDIDA.PT,ES53,5.46
2013,UNIDAD_MEDIDA.PT,ES,4.72
2013,UNIDAD_MEDIDA.PT,ES53,4.59
2014,UNIDAD_MEDIDA.PT,ES,4.66
2014,UNIDAD_MEDIDA.PT,ES53,4.87
2015,UNIDAD_MEDIDA.PT,ES,4.76
2015,UNIDAD_MEDIDA.PT,ES53,5.31
2016,UNIDAD_MEDIDA.PT,ES,4.94
2016,UNIDAD_MEDIDA.PT,ES53,5.79
2017,UNIDAD_MEDIDA.PT,ES,5.21
2017,UNIDAD_MEDIDA.PT,ES53,6.41
2018,UNIDAD_MEDIDA.PT,ES,5.27
2018,UNIDAD_MEDIDA.PT,ES53,6.74
2019,UNIDAD_MEDIDA.PT,ES,5.32
2019,UNIDAD_MEDIDA.PT,ES53,6.74
2020,UNIDAD_MEDIDA.PT,ES,6.06
2020,UNIDAD_MEDIDA.PT,ES53,8.70
2021,UNIDAD_MEDIDA.PT,ES,5.89
2021,UNIDAD_MEDIDA.PT,ES53,8.49
2022,UNIDAD_MEDIDA.PT,ES,5.58
2022,UNIDAD_MEDIDA.PT,ES53,7.17
2023,UNIDAD_MEDIDA.PT,ES,5.79
2023,UNIDAD_MEDIDA.PT,ES53,6.46
2024,UNIDAD_MEDIDA.PT,ES,6.23
2024,UNIDAD_MEDIDA.PT,ES53,7.51
