Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,4994.44
2010,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,66.98
2011,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,4642.07
2011,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,63.30
2012,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,4004.13
2012,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,36.15
2013,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,2799.03
2013,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,25.97
2014,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,2975.23
2014,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,33.34
2015,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,3089.97
2015,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,39.39
2016,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,3127.38
2016,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,58.33
2017,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,3654.89
2017,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,59.12
2018,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,3752.89
2018,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,86.69
2019,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,4133.64
2019,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,84.07
2020,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,4538.09
2020,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,66.39
2021,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,6608.68
2021,UNIDAD_MEDIDA.EUR_1000000,ES53,SERIE.SERIE_A,SERIES._L_ES_080B01_6A,86.10
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,3.01
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.82
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,2.85
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.89
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,2.34
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,0.84
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.73
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,0.72
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.76
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,0.79
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.81
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,0.96
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.85
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.33
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,2.08
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.26
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.98
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.72
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,2.07
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.55
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.94
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.08
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,2.76
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_080B01_6B,1.29
