Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2010,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,25.08
2010,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,21.30
2011,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,25.63
2011,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.00
2012,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,25.26
2012,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.50
2013,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.79
2013,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,18.80
2014,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,21.70
2014,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,23.70
2015,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,23.86
2015,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,23.00
2016,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,21.35
2016,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,18.70
2017,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,23.24
2017,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.00
2018,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.79
2018,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.30
2019,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.92
2019,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,21.30
2020,UNIDAD_MEDIDA.GPERM3,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,20.29
2020,UNIDAD_MEDIDA.GPERM3,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110602_01,19.20
