Year,Units,general.territorio,Serie,general.series,DIM_DES.ACTIVITY,DIM_DES.COMPOSITE_BREAKDOWN,Value
2011,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.38
2012,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.60
2012,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.63
2013,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.58
2013,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.67
2014,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.55
2014,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.56
2015,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.55
2015,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.52
2016,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.55
2016,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.50
2017,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.53
2017,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.49
2018,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.54
2018,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.46
2019,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.53
2019,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.21
2020,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.55
2020,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.21
2021,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.51
2021,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.22
2022,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.43
2022,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.15
2023,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.40
2023,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.13
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,31.30
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,83.31
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,32.32
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,73.60
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,29.47
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,61.54
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,17.57
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,44.70
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,19.35
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,37.59
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,25.64
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,44.28
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,22.04
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,48.72
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,27.06
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,61.78
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,25.87
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,69.18
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,19.04
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,55.72
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,-2.90
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,0.06
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,6.09
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,25.41
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,12.80
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,36.97
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,5.69
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_090401_05,,,29.89
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-20.31
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-1.55
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-19.70
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-6.76
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-21.43
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-13.24
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-28.65
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-22.29
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-27.57
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-26.11
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-23.75
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-22.51
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-25.93
