Year,Units,Territorio,Value
2010,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,4.26
2011,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,4.44
2012,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.45
2013,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.13
2014,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.19
2015,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.30
2016,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.96
2017,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.79
2018,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,2.72
2010,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.87
2011,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.81
2012,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.72
2013,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.37
2014,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.41
2015,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.16
2016,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.27
2017,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.26
2018,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.29
2019,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES,3.27
2019,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES53,3.93
2010,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,4.26
2011,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,4.23
2012,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,3.81
2013,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,3.86
2014,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,3.46
2015,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,2.63
2016,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,4.39
2017,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,4.20
2018,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,2.62
2019,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES532,3.70
2010,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,6.35
2011,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,8.02
2012,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,2.40
2013,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,0.00
2014,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,1.36
2015,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,1.36
2016,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,2.65
2017,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,0.00
2018,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,2.74
2019,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES533,6.24
2010,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,3.07
2011,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,3.73
2012,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,2.16
2013,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,0.74
2014,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,2.76
2015,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,8.05
2016,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,2.59
2017,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,2.90
2018,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,3.47
2019,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_072,4.35
2010,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2011,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2012,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2013,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2014,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2015,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,8.40
2016,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2017,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,10.10
2018,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
2019,UNIDAD_MEDIDA.PER_1000_LIVE_BIRTHS,ES531_071,0.00
