Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PT,ES,10.80
2016,UNIDAD_MEDIDA.PT,ES53,4.02
2016,UNIDAD_MEDIDA.PT,ES531,1.53
2016,UNIDAD_MEDIDA.PT,ES532,5.05
2016,UNIDAD_MEDIDA.PT,ES533,0.67
2017,UNIDAD_MEDIDA.PT,ES,13.94
2017,UNIDAD_MEDIDA.PT,ES53,3.27
2017,UNIDAD_MEDIDA.PT,ES531,3.03
2017,UNIDAD_MEDIDA.PT,ES532,3.59
2017,UNIDAD_MEDIDA.PT,ES533,1.24
2018,UNIDAD_MEDIDA.PT,ES,13.32
2018,UNIDAD_MEDIDA.PT,ES53,1.73
2018,UNIDAD_MEDIDA.PT,ES531,1.94
2018,UNIDAD_MEDIDA.PT,ES532,1.73
2018,UNIDAD_MEDIDA.PT,ES533,1.25
2019,UNIDAD_MEDIDA.PT,ES,14.79
2019,UNIDAD_MEDIDA.PT,ES53,1.33
2019,UNIDAD_MEDIDA.PT,ES531,2.79
2019,UNIDAD_MEDIDA.PT,ES532,0.97
2019,UNIDAD_MEDIDA.PT,ES533,0.98
2020,UNIDAD_MEDIDA.PT,ES,11.94
2020,UNIDAD_MEDIDA.PT,ES53,1.08
2020,UNIDAD_MEDIDA.PT,ES531,1.93
2020,UNIDAD_MEDIDA.PT,ES532,0.92
2020,UNIDAD_MEDIDA.PT,ES533,0.65
2021,UNIDAD_MEDIDA.PT,ES,11.88
2021,UNIDAD_MEDIDA.PT,ES53,1.43
2021,UNIDAD_MEDIDA.PT,ES531,1.92
2021,UNIDAD_MEDIDA.PT,ES532,1.30
2021,UNIDAD_MEDIDA.PT,ES533,1.33
2022,UNIDAD_MEDIDA.PT,ES,15.40
2022,UNIDAD_MEDIDA.PT,ES53,2.48
2022,UNIDAD_MEDIDA.PT,ES531,4.32
2022,UNIDAD_MEDIDA.PT,ES532,1.91
2022,UNIDAD_MEDIDA.PT,ES533,2.77
2023,UNIDAD_MEDIDA.PT,ES,17.73
2023,UNIDAD_MEDIDA.PT,ES53,1.85
2023,UNIDAD_MEDIDA.PT,ES531,2.39
2023,UNIDAD_MEDIDA.PT,ES532,1.87
2023,UNIDAD_MEDIDA.PT,ES533,0.37
2024,UNIDAD_MEDIDA.PT,ES,18.43
2024,UNIDAD_MEDIDA.PT,ES53,1.93
2024,UNIDAD_MEDIDA.PT,ES531,1.73
2024,UNIDAD_MEDIDA.PT,ES532,2.16
2024,UNIDAD_MEDIDA.PT,ES533,0.36
