Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.TECNOLOGIA_ACCESO,Value
2013,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,22.14
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,19.35
2014,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,22.64
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,16.52
2015,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,19.86
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,13.61
2016,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,14.36
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,10.86
2017,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,11.19
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,8.02
2018,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,8.28
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,5.52
2019,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,6.03
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,3.86
2020,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,4.08
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,2.67
2021,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,2.80
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.42
2010,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.07
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.61
2011,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.04
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.62
2012,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.99
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.58
2013,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.88
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.89
2014,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.12
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.48
2015,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.86
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.75
2016,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,6.02
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.77
2017,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,6.25
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.21
2018,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.47
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.88
2019,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.94
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.62
2020,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.56
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.08
2021,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.04
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.13
2010,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.00
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.38
2011,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.00
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.72
2012,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.01
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,1.34
2013,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.20
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,3.42
2014,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,1.55
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,6.81
2015,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,5.13
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,10.64
2016,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,11.85
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,14.42
2017,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,16.99
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,18.72
2018,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,21.80
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,22.2
2019,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,24.12
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,25.04
2020,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,26.25
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,27.79
2021,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,28.22
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.25
2010,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.08
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.26
2011,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.02
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.26
2012,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.04
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.3
2013,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.16
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.3
2014,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.33
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.35
2015,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.42
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.38
2016,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.47
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.48
2017,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.63
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.57
2018,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.72
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.67
2019,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.86
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.69
2020,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.81
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.64
2021,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.76
