Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,0.16
2010,UNIDAD_MEDIDA.IX,ES53,0.18
2011,UNIDAD_MEDIDA.IX,ES,0.17
2011,UNIDAD_MEDIDA.IX,ES53,0.20
2012,UNIDAD_MEDIDA.IX,ES,0.18
2012,UNIDAD_MEDIDA.IX,ES53,0.21
2013,UNIDAD_MEDIDA.IX,ES,0.19
2013,UNIDAD_MEDIDA.IX,ES53,0.21
2014,UNIDAD_MEDIDA.IX,ES,0.19
2014,UNIDAD_MEDIDA.IX,ES53,0.21
2015,UNIDAD_MEDIDA.IX,ES,0.19
2015,UNIDAD_MEDIDA.IX,ES53,0.21
2016,UNIDAD_MEDIDA.IX,ES,0.20
2016,UNIDAD_MEDIDA.IX,ES53,0.21
2017,UNIDAD_MEDIDA.IX,ES,0.20
2017,UNIDAD_MEDIDA.IX,ES53,0.21
2018,UNIDAD_MEDIDA.IX,ES,0.24
2018,UNIDAD_MEDIDA.IX,ES53,0.24
2019,UNIDAD_MEDIDA.IX,ES,0.24
2019,UNIDAD_MEDIDA.IX,ES53,0.25
2020,UNIDAD_MEDIDA.IX,ES,0.22
2020,UNIDAD_MEDIDA.IX,ES53,0.23
2021,UNIDAD_MEDIDA.IX,ES,0.23
2021,UNIDAD_MEDIDA.IX,ES53,0.25
