Year,Units,general.territorio,Serie,DIM_DES.SEX,Value
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,0.53
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEX.F,0.41
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,0.35
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEX.F,0.40
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,0.17
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEX.F,0.38
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEX.F,0.43
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEX.F,0.34
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,0.51
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEX.F,0.27
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEX.F,0.83
