Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PER_100000,ES,16.25
2012,UNIDAD_MEDIDA.PER_100000,ES53,17.86
2013,UNIDAD_MEDIDA.PER_100000,ES,14.43
2013,UNIDAD_MEDIDA.PER_100000,ES53,15.42
2014,UNIDAD_MEDIDA.PER_100000,ES,13.94
2014,UNIDAD_MEDIDA.PER_100000,ES53,16.41
2015,UNIDAD_MEDIDA.PER_100000,ES,13.03
2015,UNIDAD_MEDIDA.PER_100000,ES53,12.22
2016,UNIDAD_MEDIDA.PER_100000,ES,13.32
2016,UNIDAD_MEDIDA.PER_100000,ES53,10.50
2017,UNIDAD_MEDIDA.PER_100000,ES,12.42
2017,UNIDAD_MEDIDA.PER_100000,ES53,14.86
2018,UNIDAD_MEDIDA.PER_100000,ES,11.90
2018,UNIDAD_MEDIDA.PER_100000,ES53,11.39
2019,UNIDAD_MEDIDA.PER_100000,ES,11.71
2019,UNIDAD_MEDIDA.PER_100000,ES53,9.01
2020,UNIDAD_MEDIDA.PER_100000,ES53,7.73
