Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2891.88
2010,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1343.70
2011,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2786.59
2011,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1316.39
2012,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2711.86
2012,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1295.53
2013,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2645.38
2013,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1257.81
2014,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2632.51
2014,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1318.71
2015,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2639.62
2015,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1209.33
2016,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2727.58
2016,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1370.18
2017,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2864.16
2017,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1469.53
2018,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,2999.44
2018,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1657.03
2019,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,3057.56
2019,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1685.76
2020,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,3070.48
2020,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1682.36
2021,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,3254.15
2021,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1899.55
2022,UNIDAD_MEDIDA.PER_1000000_POP,ES,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,3384.29
2022,UNIDAD_MEDIDA.PER_1000000_POP,ES53,SERIE.SERIE_A,SERIES.GB_POP_SCIERD,1826.13
