Year,Units,general.territorio,Serie,general.series,Value
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,SERIE.SERIE_A,SERIES._L_ES_17192A_01,1.00
