Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,12.79
2012,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,12.98
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,11.90
2013,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,10.94
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,11.44
2014,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,12.00
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,10.82
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,9.43
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,10.93
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,9.80
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,10.07
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,11.73
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,10.00
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,10.37
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,9.98
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,6.52
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,7.76
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,6.53
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,7.71
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,6.94
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,7.62
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,5.92
2023,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,8.16
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEXO._T,7.43
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,16.25
2012,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,17.91
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,14.45
2013,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,15.52
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,14.07
2014,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,16.59
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,13.33
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,12.40
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,13.79
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,10.70
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,13.00
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,15.19
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,12.77
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,11.68
