Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,Value
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.11
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.86
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.04
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.89
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.04
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.89
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.98
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.88
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.19
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.87
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.91
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.86
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.92
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.86
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.94
