Year,Units,Territorio,Value
2011,UNIDAD_MEDIDA.PT,ES53,-2.61
2012,UNIDAD_MEDIDA.PT,ES53,-4.63
2013,UNIDAD_MEDIDA.PT,ES53,-5.26
2014,UNIDAD_MEDIDA.PT,ES53,0.27
2015,UNIDAD_MEDIDA.PT,ES53,0.40
2016,UNIDAD_MEDIDA.PT,ES53,3.42
2017,UNIDAD_MEDIDA.PT,ES53,2.09
2018,UNIDAD_MEDIDA.PT,ES53,4.89
2019,UNIDAD_MEDIDA.PT,ES53,2.33
2011,UNIDAD_MEDIDA.PT,ES,0.47
2012,UNIDAD_MEDIDA.PT,ES,-1.46
2013,UNIDAD_MEDIDA.PT,ES,-2.84
2014,UNIDAD_MEDIDA.PT,ES,-1.88
2015,UNIDAD_MEDIDA.PT,ES,-1.15
2016,UNIDAD_MEDIDA.PT,ES,0
2017,UNIDAD_MEDIDA.PT,ES,1.1
2018,UNIDAD_MEDIDA.PT,ES,2.35
2019,UNIDAD_MEDIDA.PT,ES,2.49
