Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2010,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,110.47
2010,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,131.69
2011,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,103.48
2011,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,126.15
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,98.83
2012,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,119.77
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,90.41
2013,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,108.15
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,82.85
2014,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,101.87
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,79.89
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,98.14
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,75.59
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,91.78
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,70.51
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,86.46
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,67.03
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,79.58
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,62.43
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,72.73
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,57.00
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,63.31
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,50.44
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,56.26
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,43.86
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,44.27
2023,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,42.05
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.FB_CBK_BRCH,40.77
